title,description,code snippet
Grid template columns,Grid template columns defines the columns of the grid with a space-seperated list of values,grid-template-columns: 40px 50px auto 50px 40px | 1fr 1fr 1fr | 
Grid template tows,Grid template rows defines the rows of the grid with a space-seperated list of values,grid-template-rows: 25% 100px auto | 1fr 1fr | 
Grid column grid row,Grid column/Grid row is the shorthand for grid-column-start/end and grid-row-start/end,grid-column: 1/3 | grid-row: 2/4
Grid template areas,Defines a grid template by referencing the names of the grid areas which are specified with the grid-area property,header header main main footer footer
Column row gap,Column and row gap specifies the size of the grid lines,column-gap: 15px | row-gap: 10px
