title,description,code snippet
Font size,Defines the size of the characters displayed on the screen,font-size: 16px | 1rem | 1rem
Font weight,Defines the thinness or thickness of the characters,font-weight: 800 | bold
Font family,The font-family property specifies the font for an element,font-family: Arial
Font colour,Sets the colour of a character depending on the value given,color: white | #fff
Responsive font,The font size will change depending on the size of the screen,font-size: 16vw
