title,description,code snippet
Display flex,Initiates the container as a flex container,display: flex
Flex direction,This sets how flex items are placed in the flex container defining the main axis and the direction,flex-direction: row | row-reverse | column | column-reverse
Flex wrap,Flex wrap defines whether the flex items are forced into a single line or can be flowed into multiple lines,flex-wrap: nowrap | wrap | wrap-reverse
Flex flow,Flex flow is a shorthand for direction and wrap,flex-flow: column wrap
Justify content,Justify content - main axis,jusitfy-content: flex-start | flex-end | center | space-between | space-around | space-evenly
Align items,Align items - cross axis,align-items: flex-start | flex-end | center | stretch | baseline
Order,Order - Is used to manipulate the order of objects,order: 0 | 1 | 2 | 3
